-,-,-,-,-,-,-,-
공릉동근린공원,근린공원,서울 노원구 화랑로 540,뷰가 좋아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,편의시설이 잘 되어있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
벽운계곡,계곡,서울 노원구 상계동,뷰가 좋아요,대중교통이 편해요,방문객이 많아요,피크닉하기 좋아요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
불암산자연공원,"자연,생태공원",서울 노원구 덕릉로112길 56-24,볼거리가 많아요,산책로가 잘 되어있어요,사진이 잘 나와요,대중교통이 편해요,뷰가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
당현천 음악분수,테마공원,서울 노원구 중계동 453-8,볼거리가 많아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
중계마을,체험마을,서울 노원구 중계본동 104-3,친절해요,가격이 합리적이에요,자연 경관이 좋아요,먹거리가 풍부해요,체험 프로그램이 다양해요
중계근린공원,근린공원,서울 노원구 동일로 1243,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,붐비지 않아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
불암산 엘리베이터전망대,전망대,서울 노원구 중계동 산95-1,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
초안산조선시대분묘군,국가유산,서울 노원구 월계동,사진이 잘 나와요,볼거리가 많아요,붐비지 않아요,주차하기 편해요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
리프패럿 롯데마트 중계점,동물카페,서울 노원구 노원로 330 지하1층,동물을 배려한 환경이에요,친절해요,가격이 합리적이에요,아이와 가기 좋아요,시설이 깔끔해요
베베쿠아 베이비스파카페,"키즈카페,실내놀이터",서울 노원구 섬밭로 258 건영백화점 4층,놀거리가 많아요,매장이 청결해요,친절해요,공간이 넓어요,안전하게 관리해요
파파스토리 노원점,"키즈카페,실내놀이터",서울 노원구 노원로 456 백암빌딩 2층,부모도 쉬기 좋아요,놀거리가 많아요,친절해요,음식이 맛있어요,가격이 합리적이에요
월드킹 노원점,"키즈카페,실내놀이터",서울 노원구 동일로180길 14 2층 001호,놀거리가 많아요,매장이 청결해요,가격이 합리적이에요,공간이 넓어요,테마가 재미있어요
던모스,"카페,디저트",서울 노원구 공릉로27길 8 1층 2층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
-,-,-,-,-,-,-,-
키즈런 스포츠파크,"키즈카페,실내놀이터",서울 노원구 섬밭로 258 4층,놀거리가 많아요,공간이 넓어요,매장이 청결해요,부모도 쉬기 좋아요,친절해요
-,-,-,-,-,-,-,-
마카모예 브레드바,"카페,디저트",서울 노원구 동일로190길 61 지하1~지상2층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
마마스힐링베이비카페,"키즈카페,실내놀이터","서울 노원구 동일로 1343 동일프라자빌딩 6층 1,2호",친절해요,부모도 쉬기 좋아요,놀거리가 많아요,매장이 청결해요,음식이 맛있어요
위플랜트위커피,"카페,디저트",서울 노원구 동일로178길 59-39 2층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
2001아울렛 중계점,아울렛,서울 노원구 동일로204가길 46 2001아울렛중계점,가성비가 좋아요,종류가 다양해요,친절해요,품질이 좋아요,주차하기 편해요
바운스 트램폴린파크 월계이마트센터,"스포츠,오락",서울 노원구 마들로3길 15 2층,놀거리가 많아요,친절해요,안전하게 관리해요,매장이 청결해요,부모도 쉬기 좋아요
롯데백화점 노원점,백화점,서울 노원구 동일로 1414 롯데백화점노원점,종류가 다양해요,친절해요,품질이 좋아요,가성비가 좋아요,주차하기 편해요
초안산캠핑장,"캠핑,야영장",서울 노원구 마들로5가길 66-107,화장실이 잘 되어있어요,주차하기 편해요,조용히 쉬기 좋아요,개수대가 잘 되어있어요,깨끗해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
점핑몬스터 상계백병원점,"키즈카페,실내놀이터",서울 노원구 동일로 1345 5층,가격이 합리적이에요,놀거리가 많아요,매장이 청결해요,친절해요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
청실홍실한복 노원점,한복대여,서울 노원구 상계로 117 3층,옷이 예뻐요,친절해요,가격이 합리적이에요,옷이 다양해요,옷 관리가 잘 되어있어요
노원문고 본점,서점,서울 노원구 동일로 1384 지하 노원문고,책 종류가 다양해요,시설이 깔끔해요,신간이 빨리 들어와요,원하는 책을 찾기 쉬워요,책 읽기 쾌적해요
스위팅스 떡케이크 앙금플라워 노원본점,케이크전문,서울 노원구 한글비석로52길 42 2층,음식이 맛있어요,친절해요,선물하기 좋아요,주문제작을 잘해줘요,비주얼이 좋아요
-,-,-,-,-,-,-,-
코타브레드,베이커리,서울 노원구 공릉로 165 코타브레드,빵이 맛있어요,커피가 맛있어요,매장이 청결해요,인테리어가 멋져요,대화하기 좋아요
스윗레시피,"카페,디저트",서울 노원구 상계로1길 38 2층 스윗레시피,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
점핑몬스터 서울마들점,"키즈카페,실내놀이터",서울 노원구 수락산로 212 2층,놀거리가 많아요,매장이 청결해요,친절해요,가격이 합리적이에요,부모도 쉬기 좋아요
책인감,서점,서울 노원구 동일로182길 63-1 2층,책 읽기 쾌적해요,독특한 책이 많아요,카페 같은 분위기에요,책 종류가 다양해요,시설이 깔끔해요
-,-,-,-,-,-,-,-
감각,카페,서울 노원구 상계로 77 다나프라자 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
753베이글비스트로,베이글,"서울 노원구 공릉로26길 32 1, 2층",빵이 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
메트로폴리스,베이커리,서울 노원구 동일로178길 11-9 1층 MET,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
샛별제과,케이크전문,서울 노원구 상계로1길 14-29 2층 201호,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,인테리어가 멋져요
moodshare,"카페,디저트",서울 노원구 공릉로 119-23 더하우스 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
시즌,"카페,디저트",서울 노원구 상계로3길 38-2 2층,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요
플로레스테이블,"카페,디저트",서울 노원구 상계로5길 12 동양메이저상가 3층 305호,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
-,-,-,-,-,-,-,-
키즈필 공릉점,"키즈카페,실내놀이터",서울 노원구 동일로 1085,가격이 합리적이에요,친절해요,부모도 쉬기 좋아요,놀거리가 많아요,음료가 맛있어요
오누이,"카페,디저트",서울 노원구 동일로187길 12-47,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
스타벅스 노원역점,카페,서울 노원구 동일로 1413 (상계동) 1층,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
노원문고 제5매장,서점,서울 노원구 상계로 59 동익빌딩 지하1층,책 종류가 다양해요,시설이 깔끔해요,신간이 빨리 들어와요,원하는 책을 찾기 쉬워요,베스트셀러가 많아요
미라쥬양과점 공릉철길점,"카페,디저트",서울 노원구 동일로182길 63-21 1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
지구불시착,서점,서울 노원구 공릉로32길 13 1층,독특한 책이 많아요,카페 같은 분위기에요,책 읽기 쾌적해요,책 종류가 다양해요,시설이 깔끔해요
쿠방플러스,"카페,디저트",서울 노원구 노원로26길 39 덕산빌딩 1층,친절해요,매장이 청결해요,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요
무이로 커피,"카페,디저트",서울 노원구 동일로186길 77-7 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
숨쿠킹클래스&카페,"카페,디저트",서울 노원구 상계로1길 62-20 단독건물 전층,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,사진이 잘 나와요,음료가 맛있어요
투썸플레이스 노원문화의거리점,카페,서울 노원구 상계로 69 2층 투썸플레이스,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,친절해요
스타벅스 공릉DT점,카페,서울 노원구 동일로 1015 (공릉동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
시드누아 노원본점,카페,서울 노원구 상계로 84,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
슈퍼윙스키즈카페 롯데마트중계점,"키즈카페,실내놀이터",서울 노원구 노원로 330 지하1층,친절해요,놀거리가 많아요,주차하기 편해요,매장이 청결해요,가격이 합리적이에요
-,-,-,-,-,-,-,-
키즈앤팡 상계점,"키즈카페,실내놀이터",서울 노원구 수락산로 232 4층,가격이 합리적이에요,친절해요,놀거리가 많아요,부모도 쉬기 좋아요,공간이 넓어요
-,-,-,-,-,-,-,-
카페 페페,"카페,디저트",서울 노원구 노해로 459 1층 카페 페페,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
502세컨즈카페 노원,"카페,디저트",서울 노원구 섬밭로 232 우성아파트,커피가 맛있어요,친절해요,가성비가 좋아요,대화하기 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
커피베스코 노원점,카페,서울 노원구 상계로 55 위성프라자,디저트가 맛있어요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요,친절해요
화이트아떼,"카페,디저트",서울 노원구 노원로26길 69 2층 화이트아떼,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요
리프노즈드아쉬지,베이커리,서울 노원구 동일로178길 11-13 리프노즈드아쉬지,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
오피커피,"카페,디저트",서울 노원구 노원로26나길 12 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
파운드그레도,베이커리,서울 노원구 동일로 1102 1층 파운드그레도,빵이 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
-,-,-,-,-,-,-,-
금남커퓌,카페,서울 노원구 노원로30길 45,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
단수이 대왕카스테라,베이커리,"서울 노원구 공릉로 146 1층 7, 8호 단수이대왕카스테라",빵이 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요,커피가 맛있어요
바이레인베이크샵,베이커리,서울 노원구 동일로182길 37-6 1층 바이레인,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요
마비노스 커피 본점,"카페,디저트",서울 노원구 한글비석로52길 4 2층,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,매장이 청결해요
스타벅스 태릉입구역DT점,카페,서울 노원구 화랑로 469 (공릉동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
리브인오후,베이커리,서울 노원구 동일로178길 39-30 1층 리브인오후,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,디저트가 맛있어요
-,-,-,-,-,-,-,-
